ism,yosh,shahar,fan,baho,kurs
Lola Xudoyberdiyeva,26,Jizzax,Fizika,65,2
Alisher Norqo'ziyev,21,Termiz,Matematika,93,1
Lobar Askarova,26,Nukus,Biologiya,72,4
Temur Bahromov,24,Jizzax,Matematika,80,3
Ali Karimov,19,Andijon,Ingliz tili,92,4
Davron Tillayev,23,Jizzax,Adabiyot,83,3
Ravshan Aminov,24,Andijon,Matematika,92,4
Mohira Abdullayeva,26,Farg'ona,Geografiya,99,1
Barno Hamidova,23,Jizzax,Informatika,69,1
Nozima Abduraxmonova,25,Namangan,Ingliz tili,69,4
Shahnoza Ortiqova,23,Buxoro,Biologiya,71,3
Feruza Nazarova,26,Namangan,Ingliz tili,58,2
Sherzod Tursunov,25,Toshkent,Iqtisodiyot,94,3
Otabek Qurbonov,25,Samarkand,Biologiya,74,2
Ziyoda Maxmudova,21,Farg'ona,Iqtisodiyot,62,3
Ulugbek Ismoilov,23,Nukus,Kimyo,82,1
Ali Karimov,23,Termiz,Adabiyot,64,4
Sanjar Yusupov,18,Termiz,Iqtisodiyot,86,2
Temur Bahromov,21,Toshkent,Geografiya,57,2
Barno Hamidova,26,Buxoro,Adabiyot,93,4
Ziyoda Maxmudova,26,Namangan,Biologiya,79,2
Sherzod Tursunov,25,Buxoro,Fizika,93,2
Barno Hamidova,19,Toshkent,Biologiya,82,1
Bobur Xasanov,21,Samarkand,Iqtisodiyot,78,1
Bobur Xasanov,26,Farg'ona,Fizika,98,2
Feruza Nazarova,21,Farg'ona,Biologiya,60,4
Dilnoza Ergasheva,21,Nukus,Geografiya,55,4
Shahnoza Ortiqova,26,Buxoro,Matematika,79,1
Gulnora Sotvoldiyeva,21,Jizzax,Adabiyot,77,1
Behruz Xolmatov,20,Farg'ona,Tarix,81,2
Alisher Norqo'ziyev,25,Qarshi,Biologiya,88,1
Otabek Qurbonov,23,Jizzax,Biologiya,61,4
Mansur Qosimov,25,Termiz,Informatika,89,4
Ulugbek Ismoilov,19,Toshkent,Fizika,78,3
Eldor Yunusov,26,Qarshi,Iqtisodiyot,59,1
Sherzod Tursunov,26,Farg'ona,Informatika,84,1
Sardor Mirzayev,18,Buxoro,Ingliz tili,93,4
Gulnora Sotvoldiyeva,26,Toshkent,Kimyo,100,1
Bekzod Yusupov,26,Buxoro,Fizika,61,4
Kamola Normatova,25,Toshkent,Fizika,61,2
Temur Bahromov,20,Termiz,Adabiyot,100,2
Zulfiya Rahimova,24,Qarshi,Tarix,93,1
Kamola Normatova,22,Toshkent,Iqtisodiyot,60,4
Hulkar Mirzayeva,21,Farg'ona,Geografiya,78,3
Barno Hamidova,18,Jizzax,Kimyo,83,1
Sevinch Razzaqova,24,Jizzax,Geografiya,72,3
Alisher Norqo'ziyev,19,Samarkand,Biologiya,59,3
Kamola Normatova,24,Jizzax,Geografiya,80,1
Feruza Nazarova,26,Samarkand,Biologiya,70,3
Mansur Qosimov,24,Jizzax,Fizika,74,4
Barno Hamidova,22,Nukus,Tarix,74,3
Jasur Holiqov,20,Samarkand,Geografiya,65,1
